FCCS_Code,FCCS_name,GENVEG
1,Black cottonwood-Douglas-fir-quaking aspen forest,4
2,Western hemlock-western redcedar-Douglas-fir forest,6
3,Douglas-fir forest,6
4,Douglas-fir/ceanothus forest,6
5,Douglas-fir-white fir forest,6
6,Oregon white oak-Douglas-fir forest,4
7,Douglas-fir-sugar pine-tanoak forest,4
8,Western hemlock-Douglas-fir-western redcedar/vine maple forest,4
9,Douglas-fir-western hemlock-western redcedar/vine maple forest,4
10,Western hemlock-Douglas-fir-Sitka spruce forest,6
11,Douglas-fir/western hemlock-Sitka spruce forest,6
12,Red fir-mountain hemlock-lodgepole pine-western white pine forest,6
13,Mountain hemlock-Pacific silver fir forest,6
14,California black oak woodland,4
15,Jeffrey pine-red fir-white fir/greenleaf-snowbrush forest,6
16,Jeffrey pine-ponderosa pine-Douglas-fir-California black oak forest,4
17,Red fir forest,6
18,Douglas-fir/oceanspray forest,4
19,White fir-giant sequoia-sugar pine forest,6
20,Western juniper/curl-leaf mountain mahogany woodland,4
21,Lodgepole pine forest,6
22,Lodgepole pine forest,6
23,Lodgepole pine forest,6
24,Pacific ponderosa pine-Douglas-fir forest,6
25,Pinyon-Utah juniper forest,6
26,Interior ponderosa pine-limber pine forest,6
27,Ponderosa pine-two needle pinyon-Utah juniper forest,6
28,Ponderosa pine savanna,2
29,Interior ponderosa pine-Engelmann spruce-Douglas-fir forest,6
30,Turbinella oak-alderleaf mountain mahogany shrubland,2
32,Ponderosa pine/pinyon pine-Utah juniper forest,6
33,Gambel oak/big sagebrush shrubland,2
34,Interior Douglas-fir-interior ponderosa pine/gambel oak forest,4
36,California live oak-blue oak woodland,2
37,Ponderosa pine-Jeffrey pine forest,6
38,Douglas-fir-madrone-tanoak forest,4
39,Sugar pine-Douglas-fir-oak forest,4
40,Tobosa-grama grassland,1
41,Idaho fescue-bluebunch wheatgrass grassland,1
42,Quaking aspen/Engelmann spruce forest,4
43,Arizona white-gray-Emory oak woodland,2
44,Scrub oak chaparral shrubland,2
45,Madrean pine-oak forest,4
46,Chamise chaparral shrubland,2
47,Redwood-tanoak forest,4
48,Douglas-fir-tanoak-madrone-bay forest,4
49,Creosote bush shrubland,2
51,Coastal sage shrubland,2
52,Douglas-fir-Pacific ponderosa pine/oceanspray forest,4
53,Pacific ponderosa pine forest,6
54,Douglas-fir-white fir-ponderosa pine forest,6
55,Western juniper/sagebrush savanna,2
56,Sagebrush shrubland,2
57,Wheatgrass-cheatgrass grassland,1
58,Western juniper/sagebrush savanna,2
59,Subalpine fir-Engelmann spruce-Douglas-fir-lodgepole pine forest,6
60,Sagebrush shrubland,2
61,Whitebark pine/subalpine fir forest,6
62,Huckleberry-heather shrublands,2
63,Showy sedge-alpine black sedge grassland,1
65,Tussock grass-oatgrass grassland,1
66,Bluebunch wheatgrass-bluegrass grassland,1
67,Interior ponderosa pine-Douglas-fir forest,6
69,Western juniper/sagebrush-bitterbrush shrubland,2
70,Subalpine fir-lodgepole pine-whitebark pine-Engelmann spruce forest,6
71,Ohia/Florida hopbush-kupaoa forest,4
72,Ohia/uluhe forest,4
73,Koa/pukiawe forest,4
74,Mamani-naio savanna,1
75,Slash pine/New Caledonia pine forest,6
76,Slash pine/molasses grass forest,6
77,Eucalyptus plantation forest,4
78,Florida hopbush-Mauna Loa beggarticks shrubland,2
79,Pili grass-broomsedge bluestem grassland,1
